number,commit_len,base_commit_sha,first_commit_sha,merge_commit_sha,created_at,merged_at,merged_by,1-n_url
31,1,a91669df02636004591aa54416df9989d065f341,d1cf1f77d8b235956408aa528d3b5dfdc04f071a,d1cf1f77d8b235956408aa528d3b5dfdc04f071a,2017-06-26 06:26:44,2017-06-26 08:26:14,wata727,https://github.com/sider/catpost/compare/d1cf1f77d8b235956408aa528d3b5dfdc04f071a...d1cf1f77d8b235956408aa528d3b5dfdc04f071a.diff
32,1,30caad50edbae0f727f3c1dcb029e0e17d9c215b,6b1288c47ee5acb17b438cc8a5ae1c9ed457b730,6b1288c47ee5acb17b438cc8a5ae1c9ed457b730,2017-06-26 08:48:28,2017-07-05 09:26:19,wata727,https://github.com/sider/catpost/compare/6b1288c47ee5acb17b438cc8a5ae1c9ed457b730...6b1288c47ee5acb17b438cc8a5ae1c9ed457b730.diff
33,5,0356346da147eac911f5818b4f7f8401aefe3681,bbbe5f00d5cbffaa839b9b1b15ccb43761bab02e,55fabfa5295493864ba35a91f8bed47b36253f5c,2017-06-29 10:06:27,2017-07-03 07:17:43,pocke,https://github.com/sider/catpost/compare/bbbe5f00d5cbffaa839b9b1b15ccb43761bab02e...55fabfa5295493864ba35a91f8bed47b36253f5c.diff
34,4,0356346da147eac911f5818b4f7f8401aefe3681,3dc9a07e557c9d22aa1cc019123d3108e61bbe62,43a3020c237f65d2552f1ea2563da2df62c696d6,2017-06-30 09:47:50,2017-07-05 09:16:59,soutaro,https://github.com/sider/catpost/compare/3dc9a07e557c9d22aa1cc019123d3108e61bbe62...43a3020c237f65d2552f1ea2563da2df62c696d6.diff
35,1,a8320ada8aa2997f03e9f37425f57a70460a533b,58731dcbdd8caf9c635387e998cd5ab7772773a6,58731dcbdd8caf9c635387e998cd5ab7772773a6,2017-07-05 10:49:15,2017-07-11 07:53:29,wata727,https://github.com/sider/catpost/compare/58731dcbdd8caf9c635387e998cd5ab7772773a6...58731dcbdd8caf9c635387e998cd5ab7772773a6.diff
36,1,09ae8751b9fec7f88444f7207c0cf661894a0c7d,6b8e466c1a9289df05130a9190fc2383a4cf9261,6b8e466c1a9289df05130a9190fc2383a4cf9261,2017-07-06 07:09:05,2017-07-06 07:21:18,soutaro,https://github.com/sider/catpost/compare/6b8e466c1a9289df05130a9190fc2383a4cf9261...6b8e466c1a9289df05130a9190fc2383a4cf9261.diff
37,2,a8320ada8aa2997f03e9f37425f57a70460a533b,9871ac69f47277cdb74a7c7b7c3c5359b9c9924c,6382655250542d93e91bef69b82fe7fb984bbe4e,2017-07-10 16:15:11,2017-07-12 02:57:26,soutaro,https://github.com/sider/catpost/compare/9871ac69f47277cdb74a7c7b7c3c5359b9c9924c...6382655250542d93e91bef69b82fe7fb984bbe4e.diff
38,5,a8320ada8aa2997f03e9f37425f57a70460a533b,9871ac69f47277cdb74a7c7b7c3c5359b9c9924c,90535c8db4acbbfdc2c30f56835202ff4affebf7,2017-07-10 16:20:07,2017-07-12 03:33:31,soutaro,https://github.com/sider/catpost/compare/9871ac69f47277cdb74a7c7b7c3c5359b9c9924c...90535c8db4acbbfdc2c30f56835202ff4affebf7.diff
39,5,1fb2f7c715f19bd8f4734afe3cc4e76b829fbd63,d979f5e03e7674f8a57d9044b5bcb019cafb2dd9,9d32d2cd0844022fdbee9ebc64a9e9f848edfcbc,2017-07-13 08:06:52,2017-07-14 06:25:17,yykamei,https://github.com/sider/catpost/compare/d979f5e03e7674f8a57d9044b5bcb019cafb2dd9...9d32d2cd0844022fdbee9ebc64a9e9f848edfcbc.diff
40,3,a5dfea0184311234c8c7606b26c6127de139c133,bce8b03116a5f0063bfd85480892ee1dd49901aa,dea96a6a2805f0a7476f02f9e6b5ef919f934874,2017-09-08 10:28:47,2017-09-11 05:25:20,pocke,https://github.com/sider/catpost/compare/bce8b03116a5f0063bfd85480892ee1dd49901aa...dea96a6a2805f0a7476f02f9e6b5ef919f934874.diff
